lwin11,index_date,name,vintage,producer,lwin7,region
10060452007,Jan-20,"Chateau Angelus Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2007,Chateau Angelus,1006045,Bordeaux
10062052007,Jan-20,"Chateau Ausone Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2007,Chateau Ausone,1006205,Bordeaux
10071012007,Jan-20,"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2007,Chateau Beychevelle,1007101,Bordeaux
10074752007,Jan-20,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",2007,Chateau Calon Segur,1007475,Bordeaux
10078402007,Jan-20,"Carruades de Lafite, Pauillac",2007,Chateau Lafite Rothschild,1007840,Bordeaux
10081082007,Jan-20,"Chateau Cheval Blanc Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2007,Chateau Cheval Blanc,1008108,Bordeaux
10081532007,Jan-20,"Le Clarence de Haut-Brion, Pessac-Leognan",2007,Chateau Haut-Brion,1008153,Bordeaux
10082252007,Jan-20,"Chateau Clinet, Pomerol",2007,Chateau Clinet,1008225,Bordeaux
10083392007,Jan-20,"Clos Fourtet Premier Grand Cru Classe B, Saint-Emilion Grand Cru",2007,Clos Fourtet,1008339,Bordeaux
10087462007,Jan-20,"Chateau La Conseillante, Pomerol",2007,Chateau La Conseillante,1008746,Bordeaux
10087882007,Jan-20,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",2007,Cos d'Estournel,1008788,Bordeaux
10167922007,Jan-20,"Chateau Coutet Premier Cru Classe, Barsac",2007,Coutet,1016792,Bordeaux
10094792007,Jan-20,"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2007,Ducru-Beaucaillou,1009479,Bordeaux
10094822007,Jan-20,"Chateau Duhart-Milon 4eme Cru Classe, Pauillac",2007,Duhart-Milon,1009482,Bordeaux
10095672007,Jan-20,"Chateau L'Eglise-Clinet, Pomerol",2007,L'Eglise-Clinet,1009567,Bordeaux
10096422007,Jan-20,"Chateau L'Evangile, Pomerol",2007,Chateau L'Evangile,1009642,Bordeaux
