Burgundy 150,California 50,Champagne 50,Italy 100,Liv-ex Bordeaux 500,Liv-ex Fine Wine 100,Liv-ex Fine Wine 1000,Liv-ex Fine Wine 50,Port 50,Rest of the World 60,Rhone 100,created_at,updated_at,date,load_ts
609.94,293.85,496.7,346.81,277.0,319.8,350.9,290.89,151.67,270.0,175.12,2026-02-03 13:24:04.886658+00,2026-02-03 13:24:04.886658+00,2026-01-31,2026-03-05 05:09:35.142509+00
,,,,,,,290.82,,,,2026-03-03 10:22:16.082144+00,2026-03-03 10:22:16.082144+00,2026-02-27,2026-03-05 05:09:35.142509+00
608.14,294.04,499.56,347.45,277.6,321.33,351.03,291.81,151.1,269.99,174.86,2026-03-03 12:48:11.923332+00,2026-03-03 12:48:11.923332+00,2026-02-28,2026-03-05 05:09:35.142509+00
,,,,,,,88.9,,,,2026-01-07 11:06:26.836831+00,2026-01-07 11:14:22.585679+00,1999-12-31,2026-03-05 05:09:35.142509+00
,,,,,,,86.88,,,,2026-01-07 11:06:26.836831+00,2026-01-07 11:14:22.585679+00,2000-01-31,2026-03-05 05:09:35.142509+00
,,,,,,,88.37,,,,2026-01-07 11:06:26.836831+00,2026-01-07 11:14:22.585679+00,2000-02-29,2026-03-05 05:09:35.142509+00
,,,,,,,88.54,,,,2026-01-07 11:06:26.836831+00,2026-01-07 11:14:22.585679+00,2000-03-31,2026-03-05 05:09:35.142509+00
,,,,,,,91.07,,,,2026-01-07 11:06:26.836831+00,2026-01-07 11:14:22.585679+00,2000-04-30,2026-03-05 05:09:35.142509+00
,,,,,,,92.25,,,,2026-01-07 11:06:26.836831+00,2026-01-07 11:14:22.585679+00,2000-05-31,2026-03-05 05:09:35.142509+00
,,,,,,,91.3,,,,2026-01-07 11:06:26.836831+00,2026-01-07 11:14:22.585679+00,2000-06-30,2026-03-05 05:09:35.142509+00
,,,,,,,92.89,,,,2026-01-07 11:06:26.836831+00,2026-01-07 11:14:22.585679+00,2000-07-31,2026-03-05 05:09:35.142509+00
,,,,,,,92.89,,,,2026-01-07 11:06:26.836831+00,2026-01-07 11:14:22.585679+00,2000-08-31,2026-03-05 05:09:35.142509+00
,,,,,,,93.69,,,,2026-01-07 11:06:26.836831+00,2026-01-07 11:14:22.585679+00,2000-09-30,2026-03-05 05:09:35.142509+00
,,,,,,,96.52,,,,2026-01-07 11:06:26.836831+00,2026-01-07 11:14:22.585679+00,2000-10-31,2026-03-05 05:09:35.142509+00
,,,,,,,98.49,,,,2026-01-07 11:06:26.836831+00,2026-01-07 11:14:22.585679+00,2000-11-30,2026-03-05 05:09:35.142509+00
,,,,,,,98.66,,,,2026-01-07 11:06:26.836831+00,2026-01-07 11:14:22.585679+00,2000-12-31,2026-03-05 05:09:35.142509+00
,,,,,,,98.89,,,,2026-01-07 11:06:26.836831+00,2026-01-07 11:14:22.585679+00,2001-01-31,2026-03-05 05:09:35.142509+00
,,,,,,,98.83,,,,2026-01-07 11:06:26.836831+00,2026-01-07 11:14:22.585679+00,2001-02-28,2026-03-05 05:09:35.142509+00
